Round	Player	Message
42	Briand	Finished Turn on 5/16/2026 5:49:54 PM PDT
42	Briand	Moved 6 spaces.
42	Briand	Picked up Fur in Kola.
42	Briand	Dropped off load Fish.
42	Briand	Moved 9 spaces.
42	Briand	Picked up Fish in Killavare.
42	Briand	Drew card 113.
42	Briand	Delivered Gems for $42 to Killavare.
42	Briand	Moved 1 spaces.
41	ssnumber8	Event Wizards Strike [145] has ended.
41	ssnumber8	Finished Turn on 5/16/2026 5:45:46 PM PDT
41	ssnumber8	Moved 16 spaces.
41	ARStoo	Built 1 segments for $3.
41	ARStoo	Finished Turn on 5/16/2026 4:35:18 PM PDT
41	ARStoo	Moved 4 spaces.
41	ARStoo	Moved 2 spaces.
41	ARStoo	Moved 1 spaces.
41	ARStoo	Moved 1 spaces.
41	ARStoo	Moved 2 spaces.
41	ARStoo	Moved 2 spaces.
41	ARStoo	Moved 1 spaces.
41	ARStoo	Moved 2 spaces.
41	ARStoo	Picked up Wheat in Brevandes.
41	ARStoo	Dropped off load Hops.
41	ARStoo	Picked up Wheat in Brevandes.
41	ARStoo	Dropped off load Spells.
41	ARStoo	Moved 1 spaces, paying $4 for rent to Chip
41	Chip	Event Flood! [151] has ended.
41	Chip	Finished Turn on 5/16/2026 3:10:04 PM PDT
41	Chip	Moved 9 spaces.
41	Briand	Finished Turn on 5/16/2026 12:10:33 PM PDT
41	Briand	Disembarked.
41	Briand	Moved 6 spaces.
40	ssnumber8	Finished Turn on 5/15/2026 11:06:34 PM PDT
40	ssnumber8	Moved 7 spaces.
40	ssnumber8	Picked up Fish in Parekis.
40	ssnumber8	Drew card 73.
40	ssnumber8	Event Wizards Strike [145] was drawn.
40	ssnumber8	Delivered Jewelry for $44 to Parekis.
40	ssnumber8	Moved 9 spaces.
40	ARStoo	Finished Turn on 5/15/2026 9:18:40 PM PDT
40	ARStoo	Moved 9 spaces.
40	Chip	Finished Turn on 5/15/2026 8:55:33 PM PDT
40	Chip	Pitched and drew cards 7, 45, 127.
40	ssnumber8	Player had 1 tracks destroyed.
40	Chip	Player had 1 tracks destroyed.
40	ARStoo	Player had 1 tracks destroyed.
40	Chip	Player had 1 tracks destroyed.
40	Briand	Player had 1 tracks destroyed.
40	Chip	Event Flood! [151] was drawn.
40	Briand	Finished Turn on 5/15/2026 4:10:02 PM PDT
40	Briand	Moved 11 spaces.
39	ssnumber8	Finished Turn on 5/13/2026 6:55:26 PM PDT
39	ssnumber8	Moved 16 spaces.
39	ARStoo	Finished Turn on 5/13/2026 2:23:36 PM PDT
39	ARStoo	Pitched and drew cards 41, 8, 124.
39	Chip	Finished Turn on 5/13/2026 11:19:22 AM PDT
39	Chip	Pitched and drew cards 92, 87, 38.
39	Briand	Finished Turn on 5/13/2026 7:32:46 AM PDT
39	Briand	Boarded ship "Fourth Emperor".
39	Briand	Moved 9 spaces.
38	ssnumber8	Finished Turn on 5/12/2026 9:53:59 PM PDT
38	ssnumber8	Moved 9 spaces.
38	ssnumber8	Picked up Steel in Redwitte.
38	ssnumber8	Drew card 56.
38	ssnumber8	Delivered Fruit for $15 to Redwitte.
38	ssnumber8	Moved 7 spaces.
38	ARStoo	Finished Turn on 5/12/2026 9:04:28 PM PDT
38	ARStoo	Pitched and drew cards 18, 102, 11.
38	Chip	Finished Turn on 5/12/2026 9:02:25 PM PDT
38	Chip	Moved 1 spaces.
38	Chip	Picked up Pilgrims in Janoshal.
38	Chip	Drew card 35.
38	Chip	Delivered Cloth for $36 to Janoshal.
38	Chip	Moved 12 spaces.
38	Briand	Finished Turn on 5/12/2026 8:54:35 PM PDT
38	Briand	Moved 16 spaces.
37	ssnumber8	Built 10 segments for $13.
37	ssnumber8	Finished Turn on 5/12/2026 2:14:18 PM PDT
37	ssnumber8	Player paid bribe of $1.
37	ssnumber8	Moved 9 spaces.
37	ssnumber8	Picked up Fruit in Ghassouf.
37	ssnumber8	Dropped off load Fish.
37	ssnumber8	Moved 7 spaces.
37	ARStoo	Finished Turn on 5/12/2026 7:59:16 AM PDT
37	ARStoo	Moved 4 spaces.
37	ARStoo	Picked up Hops in Bluefeld.
37	ARStoo	Drew card 10.
37	ARStoo	Delivered Wine for $23 to Bluefeld.
37	ARStoo	Picked up Hops in Bluefeld.
37	ARStoo	Drew card 88.
37	ARStoo	Delivered Cloth for $32 to Bluefeld.
37	ARStoo	Moved 2 spaces.
37	Chip	Finished Turn on 5/11/2026 10:50:56 PM PDT
37	Chip	Moved 16 spaces.
37	Briand	Finished Turn on 5/11/2026 8:48:20 PM PDT
37	Briand	Moved 1 spaces.
37	Briand	Picked up Wine in Saadah.
37	Briand	Moved 15 spaces.
36	ssnumber8	Finished Turn on 5/11/2026 7:53:07 PM PDT
36	ssnumber8	Moved 11 spaces.
36	ssnumber8	Picked up Wheat in Brevandes.
36	ssnumber8	Dropped off load Fish.
36	ssnumber8	Moved 5 spaces.
36	ARStoo	Finished Turn on 5/11/2026 2:54:31 PM PDT
36	ARStoo	Moved 16 spaces.
36	Chip	Event Elven Antirailroad Activists! [138] has ended.
36	Chip	Finished Turn on 5/11/2026 1:46:13 PM PDT
36	Chip	Moved 16 spaces.
36	Chip	Picked up Cloth in Octomare.
36	Chip	Picked up Cloth in Octomare.
36	Chip	Dropped off load Cattle.
36	Chip	Dropped off load Pipeweed.
36	Briand	Finished Turn on 5/11/2026 10:30:30 AM PDT
36	Briand	Drew card 22.
36	Briand	Delivered Ivory for $18 to Orc-Orodrag.
36	Briand	Moved 16 spaces.
